Question #,Question,Format Type,Response Options,Audit Section Tag,AI Component
1,What is your business name?,Short Text,,Brand Identity & Consistency,"Use the business name to personalize the audit and assess brand consistency across provided assets (e.g., website, social links). If the name includes niche or geographic indicators (e.g., “Elite Roofing Kelowna”), note alignment with target market. If the name is generic or inconsistent across platforms, flag for potential branding confusion. Tie into overall Brand Identity & Consistency."
2,What products or services do you offer?,Long Form,,Brand Identity & Consistency,"Summarize the offering in a clear sentence. Assess specificity, clarity, and alignment with the intended customer. Broad or vague services (e.g., “general contracting”) may hinder differentiation. Recommend refining to highlight core offerings and value. Tie to SEO strategy, messaging clarity, and customer targeting (Q23)."
3,What is your business mission or purpose?,Long Form,,Brand Identity & Consistency,"Evaluate the mission for clarity, customer impact, and brand alignment. Is it internally focused or customer-centric? Strong missions guide brand tone, content, and messaging. Weak or missing missions suggest a branding gap. Recommend refinement and use in website copy, social bios, and internal branding."
4,Do you feel your brand currently represents who you are?,Multiple Choice,"Yes, Somewhat, No",Brand Identity & Consistency,"Gauge perceived brand alignment. A response of ‘No’ or ‘Somewhat’ suggests branding may not reflect company values or market position. Cross-reference with visuals (Q12), tone (Q13), and messaging (Q18). Use to justify recommendations for rebranding or refresh."
5,What makes your brand unique or different from competitors?,Long Form,,Brand Identity & Consistency,"Assess the uniqueness of the value proposition. Look for clarity, specificity, and strategic positioning. Generic claims (“we care more”) signal weak differentiation. Recommend refining UVP to focus on tangible benefits or niche positioning. Provide a Differentiation Strength score (1–10) with justification."
6,How long has your brand looked the way it does today?,Multiple Choice,"Less than 1 Year, 1-3 Years, More than 3 Years",Brand Identity & Consistency,"Determine freshness of brand visuals and messaging. Brands unchanged for over 3 years may appear outdated, especially if trends or audience needs have shifted. Recommend update if visual/voice misalignment exists elsewhere. Use to support rebranding recommendation."
7,Have you ever done a full rebrand before?,Yes/No,"Yes, No",Brand Identity & Consistency,"Assess experience with rebranding. If ‘Yes,’ explore whether past issues persist. If ‘No,’ branding may still reflect early-stage identity or inconsistencies. Use in readiness analysis for rebranding or visual refresh."
8,Are you open to rebranding if needed?,Multiple Choice,"Yes, No, Maybe",Brand Identity & Consistency,Gauge willingness to invest in brand improvement. ‘Yes’ or ‘Maybe’ supports rebranding recommendations if gaps exist. ‘No’ suggests a need for minimal-impact improvements or strong justification. Use this to shape tone and scope of branding advice.
9,Is your branding consistent across all platforms?,Multiple Choice,"Yes, Somewhat, No, Not sure",Brand Identity & Consistency,"Self-assessed consistency. Cross-check with external brand assets (website, social). ‘Somewhat’, ‘No’, or ‘Not sure’ indicates a likely consistency problem. Recommend brand audit and unified style guide. Tie to Q10 self-rating and actual observations."
10,Rate the consistency of your branding from 0 to 100,Slider,0 to 100,Brand Identity & Consistency,Compare self-assessment to AI’s audit findings. A high score with low observed consistency indicates misperception. Use this rating to benchmark branding awareness and to justify actionable feedback on visual and tone inconsistencies.
11,Have you defined distinct customer segments or personas?,Yes/No,"Yes, No - If yes, please upload any documents relating to your customer segments or personas",Brand Identity & Consistency,"Determine audience clarity. ‘Yes’ indicates marketing maturity; request uploaded personas for deeper review. ‘No’ suggests weak targeting and inconsistent messaging. Recommend developing 1–2 clear customer personas. Cross-reference with ideal customer (Q23) and targeting strategies (Q31, Q35, Q37)."
12,Do you have a brand colour guide?,Yes/No,"Yes, No - If yes, then prompt for upload",Brand Identity & Consistency,"If ‘Yes’ and file is uploaded, evaluate for clarity, consistency, and application across assets (website, social). If missing or ‘No’, flag this as a visual branding gap. Recommend formalizing color guidelines to support consistent recognition. Tie to branding consistency (Q9–Q10)."
13,Do you have a brand voice or tone guide?,Yes/No,"Yes, No - If yes, then prompt for upload",Brand Identity & Consistency,"Assess verbal branding maturity. If guide exists, validate tone with social/website content. If ‘No’, flag inconsistent messaging risk. Recommend creating tone guide aligned with values (Q19), personality (Q20), and mission (Q3). Critical for scaling consistent communication."
14,Do you monitor online reviews?,Yes/No,"Yes, No",Brand Identity & Consistency,"Evaluate reputation management. ‘Yes’ signals awareness; ‘No’ is a missed opportunity for trust-building and feedback. Recommend setting up alerts, review tools, and incorporating reviews into marketing assets. Cross-reference average rating (Q15) and testimonials (Q16–Q17)."
15,What is your current average Google rating?,Short Text,,Brand Identity & Consistency,"Interpret rating as reputation signal. <4.0 = potential trust risk; >4.5 = strong social proof. If blank or unknown, flag monitoring gap. Recommend review strategy and featuring top reviews on key pages. Tie to Q14 (monitoring) and testimonial use."
16,Are customer testimonials part of your marketing?,Yes/No,"Yes, No",Brand Identity & Consistency,"Determine use of social proof. ‘No’ suggests missed conversion opportunities. Recommend collecting 3–5 testimonials and placing on website, emails, and social. ‘Yes’ should be validated with upload (Q17). Tie to review strategy and brand trust score."
17,Upload a few customer testimonials,File Upload or Text Box,,Brand Identity & Consistency,"If provided, analyze for specificity, relevance, and emotional impact. Generic testimonials offer low value. Recommend showcasing strongest ones prominently. If not provided, flag inconsistency if Q16 was ‘Yes’. Tie to trust and brand messaging."
18,What messaging have you found resonates most with your customers?,Long Form,,Brand Identity & Consistency,"Evaluate clarity and customer alignment. Strong responses should reflect audience pain points or desires. Generic or missing = weak messaging strategy. Recommend refining to focus on outcomes, not features. Cross-check with mission (Q3) and values (Q19)."
19,What key values do you want your brand to be known for?,Multi-select,"Integrity, Innovation, Reliability, Affordability, Sustainability, Customer Service, Speed, Quality, Other",Brand Identity & Consistency,"Assess authenticity and differentiation. Common values like “quality” or “service” are baseline. Unique values can define positioning. Recommend embedding selected values into content, tone, and customer experience. Tie to Q20 (personality) and Q13 (voice guide)."
20,What's your brand's personality?,Multiple Choice,"Professional, Friendly, Bold, Creative, Approachable, Playful, Luxury, Minimalist, Other",Brand Identity & Consistency,"Analyze the selected personality traits and assess whether they are consistently reflected in the brand’s messaging, visuals, and customer experience. Does the brand feel like it embodies the chosen personality (e.g., is a “Bold” brand using vibrant colors, strong language, or daring visuals)? If multiple traits are selected, check for coherence (e.g., “Playful” and “Luxury” may conflict without careful balance). Highlight any misalignment and recommend adjustments in tone, design, or messaging. Cross-reference with brand voice guide (Q13), website (Q62), and social media content (Q54–Q56)."
21,"Do you have a tagline or slogan? If so, what is it?",Yes/No,"Yes, No - If yes, then ask for slogan",Brand Identity & Consistency,"Evaluate the provided slogan or tagline for clarity, memorability, and alignment with the brand’s mission and personality. Strong taglines convey value, differentiation, or emotional resonance in a concise way. If missing or weak, flag this as a branding opportunity. Recommend refining or creating a tagline that captures the business’s essence and resonates with the target customer. Cross-check with mission (Q3), differentiation (Q5), and values (Q19) for alignment."
